,,,Size_Ratio,Size_Ratio,Size_Ratio,Pos_X,Pos_X,Pos_X,Pos_Y,Pos_Y,Pos_Y,Item_Count,Item_Count,Item_Count
,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
Type,Age,Sex,,,,,,,,,,,,
나무,7,남,36.56906181469298,18.36684001896137,57,0.43472450657894735,0.11407577369834646,57,0.4854577850877193,0.1271977814598264,57,21.12280701754386,4.825787039580015,57
나무,7,여,39.00779780635127,18.727725433419856,54,0.4123263888888889,0.11454840012536388,54,0.45534577546296295,0.10282620535076975,54,21.814814814814813,6.483866986385122,54
나무,8,남,40.68683950540721,19.47930564019178,622,0.4447315866157556,0.11628147919301395,622,0.5091300743569132,0.0963849535788636,622,22.30385852090032,7.649063043413178,622
나무,8,여,40.43940584424516,18.620636609593326,426,0.4291785871478873,0.13307353232261512,426,0.4951428623826291,0.09157369941377916,426,23.377934272300468,7.90296334327077,426
나무,9,남,42.6944891026462,20.3601449445109,793,0.44474700504413617,0.10554925561137393,793,0.4938155146595208,0.09685937172434458,793,22.762925598991174,7.062976989578551,793
나무,9,여,44.9555517578125,20.14245148689383,475,0.4536036184210526,0.10658988211509349,475,0.47628700657894735,0.08709202411623708,475,23.58105263157895,6.082351427665879,475
나무,10,남,43.660670569949296,20.115325722593,1097,0.4516938952825889,0.10319245201462801,1097,0.48582604546490427,0.09458694520648223,1097,22.256153144940747,6.87313484761208,1097
나무,10,여,45.87667986100095,19.089000903464495,788,0.4548119249682741,0.11691198075941628,788,0.4714828878489848,0.0810697872843928,788,23.274111675126903,5.930858704995281,788
나무,11,남,44.74957357061218,20.484303381295437,1121,0.4494605820695807,0.10890407675113029,1121,0.48454156445138263,0.09091096169904908,1121,22.49420160570919,6.546823951245719,1121
나무,11,여,48.84701430109404,19.458697114706386,1074,0.4548275285148976,0.10620537650186031,1074,0.47347423475325884,0.07106181599794735,1074,23.91806331471136,7.083892810134484,1074
나무,12,남,45.217763274179866,19.187249094422867,1105,0.4513458003393665,0.10276501947361644,1105,0.4757236283936652,0.08460425588306128,1105,22.239819004524886,6.037582174839158,1105
나무,12,여,49.55233330661699,18.822672840177972,1322,0.45127292927382756,0.1080733433420517,1322,0.4728400387670197,0.07471797442460368,1322,23.259455370650528,6.0061794325618765,1322
나무,13,남,48.50171600663651,19.929986424189394,1043,0.4515287931447747,0.10043904303615707,1043,0.4649452450862896,0.07904078089292482,1043,22.65867689357622,8.03832524347443,1043
나무,13,여,52.02090940686005,19.315551566274216,1223,0.4524727872035977,0.10664613200016944,1223,0.47004612121831557,0.06569625440405745,1223,24.19869174161897,8.9971225581482,1223
남자사람,7,남,21.496865844726564,15.614917440575047,60,0.44897786458333333,0.10981355243213856,60,0.43005208333333333,0.10118067758997806,60,26.95,0.6745996929755541,60
남자사람,7,여,22.394029651988635,14.842150584647479,55,0.4338565340909091,0.0734821226040857,55,0.4800710227272727,0.08407861351539266,55,26.78181818181818,0.5673495588131906,55
남자사람,8,남,21.644815011591962,14.26221078062357,647,0.4557869252318392,0.0812563834297977,647,0.4535289074574961,0.09705049313018747,647,26.842349304482227,0.5306687600621146,647
남자사람,8,여,18.31716555477528,11.14362697042922,445,0.45258690308988764,0.06676635482331231,445,0.46599016853932584,0.09351368693349506,445,26.874157303370787,0.5553847967825698,445
남자사람,9,남,21.604756444580993,13.610478107182873,801,0.45692883895131087,0.07069976757370194,801,0.4527285229400749,0.0943162220399042,801,26.801498127340825,0.5628478949138829,801
